	6-azauridine	Abacavir	Acyclovir	Asunaprevir	Atazanavir	Baloxavir_marboxil	Bictegravir	Bleomycin	Boceprevir	Camostat	Cenicriviroc	Censavudine	Chloroquine	Cobicistat	Cyclosporin_A	Daclatasvir	Darunavir	Didanosine	Dolutegravir	Efavirenz	Elbasvir	Eltrombopag	Elvitegravir	Emtricitabine	Etravirine	FK506	Fosamprenavir	Ganciclovir	Glecaprevir	Glycyrrhizin	Grazoprevir	Herbacetin	Indinavir	Lamivudine	Laninamivir	Ledipasvir	Letermovir	Lopinavir	Maraviroc	Maribavir	Mizoribine	Mycophenolic_acid	Nelfinavir	Nevirapine	Nitazoxanide	Oseltamivir	Pentoxifylline	Peramivir	Phenothiazine	Pibrentasvir	Presatovir	Protein_phosphatase_1	Pyrazofurin	Raltegravir	Remdesivir	Rhoifolin	Ribavirin	Rifabutin	Rilpivirine	Rimantadine	Ritonavir	Saquinavir	Simeprevir	Sofosbuvir	stavudine	sulfamethoxazole	Teicoplanin	Tenofovir	Tenofovir_alafenamide	Tenofovir_disoproxil	Tipranavir	Trimethoprim	Valaciclovir	Valganciclovir	Velpatasvir	Voxilaprevir	Zanamivir	zidovudine
FK506	0.110526316	0.085858586	0.058201058	0.154150198	0.088560886	0.120833333	0.124423963	0.103448276	0.120535714	0.063348416	0.079422383	0.090909091	0.043269231	0.076124567	0.123123123	0.137037037	0.09623431	0.085106383	0.117370892	0.070707071	0.133333333	0.07860262	0.086363636	0.069892473	0.044843049	1	0.091286307	0.062176166	0.154411765	0.196911197	0.215139442	0.0591133	0.101167315	0.064864865	0.101010101	0.127090301	0.093117409	0.096153846	0.130434783	0.1	0.091397849	0.112820513	0.136170213	0.081632653	0.059701493	0.097435897	0.088541667	0.085858586	0.026041667	0.144578313	0.142857143	0.059701493	0.085561497	0.09009009	0.105691057	0.12605042	0.086486486	0.212121212	0.049107143	0.078651685	0.064748201	0.118320611	0.181102362	0.119469027	0.087431694	0.052083333	0.092050209	0.056122449	0.073913043	0.077253219	0.066666667	0.081218274	0.073891626	0.077294686	0.133333333	0.182156134	0.085858586	0.10106383
Fosamprenavir	0.115646259	0.105263158	0.085106383	0.150234742	0.271794872	0.206521739	0.11299435	0.101492537	0.102702703	0.205128205	0.172093023	0.090277778	0.133333333	0.251184834	0.072131148	0.187214612	0.653846154	0.090277778	0.15060241	0.092715232	0.195918367	0.169590643	0.163636364	0.085714286	0.113772455	0.091286307	1	0.097222222	0.145922747	0.08677686	0.116883117	0.105263158	0.242105263	0.094890511	0.117647059	0.164658635	0.173684211	0.286486486	0.189944134	0.101910828	0.083333333	0.111111111	0.229050279	0.114864865	0.152777778	0.120805369	0.094594595	0.112582781	0.153846154	0.132653061	0.148351648	0.106666667	0.083333333	0.13372093	0.243093923	0.116161616	0.076923077	0.128099174	0.112426036	0.058394161	0.257575758	0.28125	0.155251142	0.240963855	0.09352518	0.23015873	0.086956522	0.142857143	0.234567901	0.146067416	0.236263736	0.092105263	0.14	0.150326797	0.200819672	0.119834711	0.105263158	0.081081081
Ganciclovir	0.139784946	0.208791209	0.461538462	0.0625	0.079545455	0.064935065	0.07751938	0.072413793	0.035460993	0.083333333	0.083798883	0.151162791	0.108910891	0.078534031	0.059055118	0.074468085	0.090277778	0.207317073	0.081300813	0.080808081	0.058558559	0.083969466	0.13559322	0.175	0.094017094	0.062176166	0.097222222	1	0.066326531	0.040609137	0.069518717	0.089108911	0.085365854	0.164556962	0.107843137	0.064220183	0.071428571	0.090909091	0.076388889	0.12745098	0.152941176	0.12	0.08	0.126315789	0.090909091	0.101010101	0.168539326	0.067961165	0.069767442	0.053639847	0.078571429	0.125	0.126436782	0.10483871	0.128378378	0.079470199	0.156626506	0.075	0.074380165	0.023529412	0.085227273	0.086705202	0.083333333	0.096296296	0.160493827	0.102272727	0.0425	0.307692308	0.193277311	0.18699187	0.091503268	0.136842105	0.345238095	0.456790123	0.073059361	0.075757576	0.1	0.146067416
Glecaprevir	0.08040201	0.111675127	0.0625	0.259574468	0.136882129	0.156779661	0.158878505	0.105263158	0.169724771	0.101382488	0.10989011	0.089005236	0.088669951	0.141304348	0.086206897	0.164794007	0.161572052	0.094736842	0.157894737	0.125	0.182130584	0.120535714	0.119815668	0.074074074	0.097222222	0.154411765	0.145922747	0.066326531	1	0.154411765	0.492753623	0.078817734	0.181069959	0.07486631	0.088235294	0.209219858	0.136929461	0.156	0.222222222	0.098039216	0.067010309	0.083333333	0.226244344	0.136842105	0.130208333	0.09	0.086734694	0.089552239	0.092391304	0.17791411	0.187214612	0.124352332	0.067010309	0.165876777	0.135802469	0.105691057	0.067708333	0.157142857	0.096330275	0.076923077	0.127819549	0.227272727	0.256198347	0.178899083	0.085561497	0.107526882	0.08677686	0.055	0.130630631	0.085106383	0.154811715	0.074257426	0.088235294	0.086124402	0.182130584	0.61	0.078817734	0.087628866
Glycyrrhizin	0.116402116	0.0591133	0.03626943	0.13618677	0.084558824	0.076	0.094170404	0.165266106	0.140909091	0.073059361	0.060283688	0.056994819	0.028436019	0.072413793	0.087209302	0.112318841	0.087136929	0.073684211	0.081818182	0.06	0.107491857	0.060085837	0.066964286	0.058510638	0.026431718	0.196911197	0.08677686	0.040609137	0.154411765	1	0.146616541	0.053921569	0.084291188	0.059139785	0.101010101	0.130872483	0.067193676	0.075471698	0.111111111	0.089108911	0.109289617	0.085	0.107883817	0.054726368	0.059701493	0.091836735	0.060913706	0.108247423	0.015463918	0.10787172	0.089361702	0.033980583	0.10326087	0.075555556	0.088	0.229357798	0.098360656	0.167883212	0.02173913	0.066666667	0.068592058	0.105660377	0.132075472	0.109649123	0.064171123	0.035897436	0.134782609	0.040201005	0.055555556	0.072649573	0.05019305	0.03902439	0.058252427	0.061904762	0.107491857	0.169117647	0.096938776	0.07253886
Grazoprevir	0.08994709	0.117021277	0.071428571	0.373205742	0.115384615	0.13304721	0.160194175	0.110810811	0.160377358	0.105769231	0.122137405	0.087431694	0.081632653	0.116788321	0.09495549	0.170542636	0.127192982	0.099447514	0.153465347	0.118918919	0.175438596	0.110091743	0.119617225	0.071823204	0.101449275	0.215139442	0.116883117	0.069518717	0.492753623	0.146616541	1	0.082474227	0.148760331	0.078651685	0.097938144	0.189964158	0.137339056	0.129032258	0.169724771	0.102564103	0.07027027	0.115789474	0.212962963	0.125	0.106382979	0.094240838	0.090909091	0.088082902	0.054945055	0.1829653	0.206730769	0.11827957	0.07027027	0.167487685	0.1125	0.11440678	0.071038251	0.149635036	0.100478469	0.080924855	0.102272727	0.210084034	0.311111111	0.137614679	0.08988764	0.106741573	0.088421053	0.057591623	0.105022831	0.088495575	0.117154812	0.106382979	0.092307692	0.09	0.175438596	0.55721393	0.076923077	0.091891892
Herbacetin	0.094339623	0.071428571	0.082474227	0.070652174	0.098901099	0.144736842	0.15503876	0.066445183	0.006451613	0.111111111	0.127071823	0.101010101	0.119266055	0.08	0.081395349	0.109947644	0.098684211	0.09	0.181818182	0.125	0.113636364	0.216	0.180327869	0.083333333	0.169491525	0.0591133	0.105263158	0.089108911	0.078817734	0.053921569	0.082474227	1	0.093023256	0.096774194	0.060344828	0.110091743	0.136363636	0.104651163	0.071428571	0.10619469	0.102040816	0.12962963	0.116883117	0.147058824	0.113207547	0.025862069	0.065420561	0.025641026	0.146067416	0.079545455	0.110344828	0.191919192	0.113402062	0.185483871	0.10625	0.291044776	0.070707071	0.113861386	0.147540984	0	0.086486486	0.081967213	0.108108108	0.104895105	0.106382979	0.175824176	0.089285714	0.076923077	0.085714286	0.04	0.149350649	0.102803738	0.060344828	0.066666667	0.108597285	0.077294686	0.071428571	0.076923077
Indinavir	0.088757396	0.105882353	0.074534161	0.172566372	0.300970874	0.18627451	0.124352332	0.101983003	0.160621762	0.162011173	0.198237885	0.079268293	0.137724551	0.314814815	0.077639752	0.186440678	0.256684492	0.085889571	0.140540541	0.081871345	0.203846154	0.176470588	0.145945946	0.075	0.095744681	0.101167315	0.242105263	0.085365854	0.181069959	0.084291188	0.148760331	0.093023256	1	0.082802548	0.130177515	0.156716418	0.202970297	0.34375	0.194871795	0.109195402	0.093167702	0.104651163	0.355932203	0.12804878	0.155279503	0.133333333	0.116564417	0.139393939	0.164383562	0.142394822	0.150753769	0.134146341	0.086419753	0.174863388	0.218905473	0.110599078	0.0875	0.131274131	0.124324324	0.057692308	0.305825243	0.407407407	0.128099174	0.189473684	0.088607595	0.114649682	0.102449889	0.090909091	0.182795699	0.114427861	0.231155779	0.081395349	0.104046243	0.107344633	0.213178295	0.145669291	0.119047619	0.084337349
Lamivudine	0.152941176	0.2	0.175675676	0.06547619	0.052023121	0.106382979	0.129310345	0.063157895	0.053435115	0.070175439	0.056818182	0.166666667	0.072164948	0.07027027	0.044	0.06010929	0.103703704	0.263888889	0.136363636	0.112359551	0.060747664	0.080645161	0.095652174	0.622641509	0.081081081	0.064864865	0.094890511	0.164556962	0.07486631	0.059139785	0.078651685	0.096774194	0.082802548	1	0.105263158	0.056603774	0.082758621	0.068322981	0.088888889	0.163043478	0.216216216	0.083333333	0.084507042	0.125	0.086956522	0.086021505	0.090909091	0.073684211	0.076923077	0.047058824	0.1	0.098901099	0.168831169	0.112068966	0.104166667	0.107142857	0.189189189	0.07253886	0.060869565	0.053333333	0.063953488	0.090909091	0.080924855	0.138211382	0.228571429	0.126582278	0.043367347	0.13253012	0.089430894	0.078125	0.081632653	0.098901099	0.117021277	0.134020619	0.0657277	0.078947368	0.108695652	0.220779221
Laninamivir	0.122641509	0.088495575	0.08	0.104972376	0.115384615	0.079268293	0.09352518	0.094594595	0.135714286	0.153225806	0.061538462	0.098039216	0.059322034	0.089552239	0.056179775	0.096938776	0.140939597	0.087378641	0.097744361	0.043478261	0.097345133	0.091549296	0.1484375	0.103092784	0.052238806	0.101010101	0.117647059	0.107843137	0.088235294	0.101010101	0.097938144	0.060344828	0.130177515	0.105263158	1	0.088888889	0.078787879	0.109195402	0.090909091	0.132743363	0.168421053	0.146788991	0.14379085	0.043478261	0.110091743	0.257731959	0.093457944	0.308510638	0.019417476	0.078651685	0.078947368	0.043103448	0.15625	0.111111111	0.125	0.086419753	0.172043011	0.096153846	0.04379562	0.063829787	0.108695652	0.13559322	0.077720207	0.125874126	0.114583333	0.078431373	0.08040201	0.095238095	0.09929078	0.104166667	0.065088757	0.07079646	0.115044248	0.139130435	0.097345133	0.102439024	0.5375	0.116504854
Ledipasvir	0.067264574	0.1	0.060747664	0.212927757	0.243243243	0.169960474	0.153191489	0.147668394	0.158333333	0.144104803	0.189781022	0.064516129	0.094170404	0.177700348	0.104683196	0.464912281	0.165322581	0.079439252	0.137339056	0.096330275	0.510288066	0.175965665	0.151515152	0.056074766	0.130434783	0.127090301	0.164658635	0.064220183	0.209219858	0.130872483	0.189964158	0.110091743	0.156716418	0.056603774	0.088888889	1	0.183266932	0.190839695	0.205882353	0.102678571	0.055045872	0.079646018	0.180722892	0.127358491	0.100917431	0.090497738	0.072727273	0.095022624	0.082125604	0.365771812	0.174273859	0.11627907	0.055045872	0.144680851	0.136882129	0.125954198	0.055555556	0.172297297	0.129310345	0.073529412	0.196296296	0.22605364	0.224719101	0.166666667	0.066037736	0.09047619	0.111336032	0.058823529	0.141666667	0.116465863	0.141221374	0.100917431	0.108597285	0.111111111	0.428015564	0.219081272	0.07079646	0.068493151
Letermovir	0.062111801	0.09375	0.073825503	0.140271493	0.159090909	0.258241758	0.179190751	0.068181818	0.065656566	0.160714286	0.199074074	0.078947368	0.10625	0.153191489	0.067092652	0.191964286	0.168421053	0.086092715	0.185628743	0.139072848	0.195219124	0.246987952	0.228395062	0.096551724	0.148809524	0.093117409	0.173684211	0.071428571	0.136929461	0.067193676	0.137339056	0.136363636	0.202970297	0.082758621	0.078787879	0.183266932	1	0.183574879	0.145833333	0.097560976	0.072368421	0.127388535	0.170103093	0.146666667	0.130718954	0.074074074	0.097402597	0.060606061	0.129496403	0.197183099	0.180327869	0.130718954	0.065359477	0.16091954	0.16	0.145728643	0.066225166	0.133603239	0.153846154	0.04109589	0.132743363	0.171296296	0.171171171	0.157608696	0.081632653	0.117241379	0.092970522	0.077419355	0.15	0.076530612	0.247311828	0.161073826	0.09202454	0.095808383	0.185770751	0.153526971	0.060606061	0.070512821
Lopinavir	0.068965517	0.079545455	0.086956522	0.131355932	0.336633663	0.190243902	0.111675127	0.12034384	0.113300493	0.186440678	0.217777778	0.098159509	0.129411765	0.375	0.090625	0.226086957	0.309392265	0.078313253	0.139037433	0.080924855	0.24015748	0.21978022	0.188888889	0.06097561	0.136612022	0.096153846	0.286486486	0.090909091	0.156	0.075471698	0.129032258	0.104651163	0.34375	0.068322981	0.109195402	0.190839695	0.183574879	1	0.175	0.089385475	0.053254438	0.136094675	0.267015707	0.140243902	0.153374233	0.111764706	0.115151515	0.104651163	0.170068027	0.160130719	0.143564356	0.125748503	0.053254438	0.179347826	0.193236715	0.104545455	0.047619048	0.134615385	0.147540984	0.037267081	0.464864865	0.34	0.155462185	0.206349206	0.101265823	0.113207547	0.104444444	0.083333333	0.2	0.135678392	0.247474747	0.093023256	0.135294118	0.144508671	0.23046875	0.131274131	0.091954023	0.089820359
Maraviroc	0.073333333	0.137931034	0.071428571	0.163461538	0.134259259	0.152631579	0.161676647	0.086053412	0.13559322	0.107784431	0.131818182	0.092198582	0.136054422	0.180995475	0.072847682	0.162895928	0.204545455	0.115942029	0.153374233	0.117241379	0.178861789	0.125714286	0.152439024	0.087591241	0.095808383	0.130434783	0.189944134	0.076388889	0.222222222	0.111111111	0.169724771	0.071428571	0.194871795	0.088888889	0.090909091	0.205882353	0.145833333	0.175	1	0.125827815	0.092857143	0.084415584	0.247126437	0.173913043	0.13986014	0.108108108	0.111888112	0.12244898	0.113636364	0.153846154	0.183908046	0.116438356	0.085106383	0.142857143	0.187165775	0.084577114	0.094202899	0.134453782	0.094674556	0.118110236	0.154929577	0.215	0.201923077	0.208333333	0.095588235	0.109489051	0.051224944	0.097902098	0.193939394	0.110497238	0.15625	0.079470199	0.12	0.116129032	0.198347107	0.185840708	0.085526316	0.097902098
Maribavir	0.24742268	0.157407407	0.111111111	0.10989011	0.067708333	0.078313253	0.132352941	0.120274914	0.066225166	0.074074074	0.088541667	0.117647059	0.165137615	0.088669951	0.075757576	0.085	0.109677419	0.151515152	0.121212121	0.099099099	0.10619469	0.113475177	0.182539683	0.159574468	0.108527132	0.1	0.101910828	0.12745098	0.098039216	0.089108911	0.102564103	0.10619469	0.109195402	0.163043478	0.132743363	0.102678571	0.097560976	0.089385475	0.125827815	1	0.329411765	0.094827586	0.10625	0.099099099	0.078947368	0.087719298	0.091743119	0.116071429	0.059405941	0.086142322	0.129251701	0.098214286	0.269662921	0.117647059	0.159235669	0.202702703	0.321428571	0.133004926	0.106870229	0.0625	0.08994709	0.10326087	0.111111111	0.147887324	0.159574468	0.108910891	0.096446701	0.125	0.105633803	0.087837838	0.096385542	0.128440367	0.122807018	0.136752137	0.111111111	0.106796117	0.126126126	0.17
Mizoribine	0.333333333	0.186813187	0.148148148	0.075581395	0.056179775	0.072847682	0.12295082	0.111510791	0.082706767	0.075630252	0.054945055	0.127906977	0.057692308	0.051546392	0.05952381	0.058201058	0.091549296	0.227848101	0.110169492	0.060606061	0.054298643	0.085271318	0.090909091	0.210526316	0.041322314	0.091397849	0.083333333	0.152941176	0.067010309	0.109289617	0.07027027	0.102040816	0.093167702	0.216216216	0.168421053	0.055045872	0.072368421	0.053254438	0.092857143	0.329411765	1	0.1	0.095890411	0.082474227	0.081632653	0.103092784	0.120879121	0.14893617	0.034482759	0.045977011	0.079710145	0.070707071	0.523809524	0.106557377	0.145833333	0.192592593	0.593220339	0.115183246	0.040650407	0.049382716	0.05	0.087719298	0.066298343	0.131782946	0.179487179	0.079545455	0.075129534	0.136363636	0.09375	0.090909091	0.064516129	0.070707071	0.121212121	0.137254902	0.068807339	0.07106599	0.186813187	0.204819277
Mycophenolic_acid	0.092592593	0.060869565	0.114583333	0.099447514	0.097826087	0.128205128	0.143939394	0.080267559	0.067567568	0.109375	0.101604278	0.11	0.087719298	0.095477387	0.080769231	0.091836735	0.104575163	0.088235294	0.150793651	0.072072072	0.083333333	0.157894737	0.18699187	0.092783505	0.09375	0.112820513	0.111111111	0.12	0.083333333	0.085	0.115789474	0.12962963	0.104651163	0.083333333	0.146788991	0.079646018	0.127388535	0.136094675	0.084415584	0.094827586	0.1	1	0.12987013	0.101851852	0.111111111	0.141509434	0.171717172	0.140186916	0.04	0.066914498	0.101351351	0.090909091	0.12244898	0.173228346	0.111801242	0.100628931	0.08	0.140703518	0.083969466	0.020618557	0.097297297	0.092896175	0.112903226	0.103448276	0.115789474	0.09	0.0725	0.096153846	0.1	0.104895105	0.125786164	0.153846154	0.136363636	0.140350877	0.097777778	0.108374384	0.119266055	0.117647059
Nelfinavir	0.076923077	0.131578947	0.068027211	0.208737864	0.235294118	0.170984456	0.168604651	0.100294985	0.209302326	0.163636364	0.158371041	0.095238095	0.122580645	0.196428571	0.074675325	0.2	0.251428571	0.102739726	0.174698795	0.104575163	0.207317073	0.186046512	0.173652695	0.075862069	0.104651163	0.136170213	0.229050279	0.08	0.226244344	0.107883817	0.212962963	0.116883117	0.355932203	0.084507042	0.14379085	0.180722892	0.170103093	0.267015707	0.247126437	0.10625	0.095890411	0.12987013	1	0.141891892	0.180555556	0.132450331	0.099337748	0.154362416	0.166666667	0.154109589	0.196629213	0.156462585	0.088435374	0.206060606	0.211640212	0.125	0.082191781	0.135245902	0.122807018	0.087591241	0.210526316	0.533742331	0.178899083	0.206896552	0.106382979	0.127659574	0.081264108	0.093333333	0.2	0.112299465	0.186528497	0.06918239	0.100628931	0.104294479	0.207317073	0.200873362	0.131578947	0.108108108
Nevirapine	0.086538462	0.158415842	0.133333333	0.121387283	0.100558659	0.14	0.149606299	0.056478405	0.055172414	0.10483871	0.104395604	0.152173913	0.155339806	0.103626943	0.053435115	0.142076503	0.115646259	0.204545455	0.166666667	0.1875	0.12037037	0.182539683	0.146341463	0.10989011	0.153846154	0.081632653	0.114864865	0.126315789	0.136842105	0.054726368	0.125	0.147058824	0.12804878	0.125	0.043478261	0.127358491	0.146666667	0.140243902	0.173913043	0.099099099	0.082474227	0.101851852	0.141891892	1	0.161616162	0.054545455	0.11	0.03539823	0.164705882	0.093023256	0.196969697	0.210526316	0.071428571	0.152	0.122580645	0.111111111	0.084210526	0.115577889	0.181034483	0.044444444	0.093922652	0.120689655	0.147727273	0.123188406	0.16091954	0.168539326	0.04950495	0.12371134	0.146153846	0.085106383	0.12987013	0.12745098	0.121495327	0.116071429	0.125581395	0.111111111	0.044642857	0.135416667
Nitazoxanide	0.085714286	0.092592593	0.095744681	0.140350877	0.157894737	0.154362416	0.113636364	0.074074074	0.062068966	0.2	0.122222222	0.091836735	0.142857143	0.150537634	0.03358209	0.129032258	0.153846154	0.080808081	0.155737705	0.095238095	0.119815668	0.153846154	0.163934426	0.073684211	0.123966942	0.059701493	0.152777778	0.090909091	0.130208333	0.059701493	0.106382979	0.113207547	0.155279503	0.086956522	0.110091743	0.100917431	0.130718954	0.153374233	0.13986014	0.078947368	0.081632653	0.111111111	0.180555556	0.161616162	1	0.114285714	0.142857143	0.082568807	0.19047619	0.084291188	0.143884892	0.137254902	0.070707071	0.169354839	0.158940397	0.089171975	0.072164948	0.093137255	0.12195122	0.010638298	0.16374269	0.152941176	0.121546961	0.164179104	0.096774194	0.179775281	0.05721393	0.1	0.19047619	0.115942029	0.151315789	0.126213592	0.12037037	0.115044248	0.130232558	0.099502488	0.102803738	0.067961165
Oseltamivir	0.08490566	0.081818182	0.083333333	0.113636364	0.105555556	0.088050314	0.088235294	0.081081081	0.131386861	0.148760331	0.115384615	0.069306931	0.110091743	0.096938776	0.061068702	0.098958333	0.129251701	0.069306931	0.092307692	0.045045045	0.089285714	0.070921986	0.1	0.084210526	0.053846154	0.097435897	0.120805369	0.101010101	0.09	0.091836735	0.094240838	0.025862069	0.133333333	0.086021505	0.257731959	0.090497738	0.074074074	0.111764706	0.108108108	0.087719298	0.103092784	0.141509434	0.132450331	0.054545455	0.114285714	1	0.13	0.265957447	0.02020202	0.075757576	0.095890411	0.063636364	0.091836735	0.106060606	0.165562914	0.061728395	0.105263158	0.098039216	0.037313433	0.078651685	0.104972376	0.119318182	0.096774194	0.129496403	0.084210526	0.070707071	0.075757576	0.088235294	0.126865672	0.148148148	0.093167702	0.083333333	0.150943396	0.154545455	0.094170404	0.104477612	0.239583333	0.099009901
Pentoxifylline	0.111111111	0.106796117	0.164705882	0.091428571	0.102272727	0.112582781	0.1171875	0.064189189	0.071428571	0.116666667	0.125	0.119565217	0.148514851	0.105263158	0.087649402	0.08994709	0.095238095	0.119565217	0.132231405	0.067307692	0.076576577	0.114503817	0.131147541	0.101123596	0.064516129	0.088541667	0.094594595	0.168539326	0.086734694	0.060913706	0.090909091	0.065420561	0.116564417	0.090909091	0.093457944	0.072727273	0.097402597	0.115151515	0.111888112	0.091743119	0.120879121	0.171717172	0.099337748	0.11	0.142857143	0.13	1	0.096153846	0.054945055	0.064885496	0.115107914	0.12	0.085106383	0.165289256	0.125	0.056962025	0.111111111	0.095	0.072	0.011111111	0.101694915	0.103448276	0.099447514	0.117647059	0.126436782	0.097826087	0.057788945	0.139784946	0.149606299	0.162790698	0.11038961	0.108910891	0.193877551	0.184466019	0.081447964	0.090452261	0.085714286	0.115789474
Peramivir	0.104761905	0.081081081	0.05	0.11299435	0.098901099	0.054545455	0.087591241	0.091836735	0.172932331	0.138211382	0.073684211	0.058252427	0.079646018	0.090909091	0.064885496	0.092783505	0.120805369	0.058252427	0.083333333	0.026315789	0.084070796	0.078014184	0.107692308	0.072164948	0.029850746	0.085858586	0.112582781	0.067961165	0.089552239	0.108247423	0.088082902	0.025641026	0.139393939	0.073684211	0.308510638	0.095022624	0.060606061	0.104651163	0.12244898	0.116071429	0.14893617	0.140186916	0.154362416	0.03539823	0.082568807	0.265957447	0.096153846	1	0	0.075471698	0.073333333	0.035087719	0.14893617	0.097014925	0.156862745	0.067901235	0.152173913	0.09223301	0.029411765	0.08988764	0.098360656	0.144508671	0.078947368	0.112676056	0.072164948	0.049019608	0.072864322	0.076923077	0.09352518	0.098591549	0.079268293	0.044247788	0.098214286	0.103448276	0.098654709	0.098522167	0.237113402	0.098039216
Phenothiazine	0.042553191	0.073684211	0.074074074	0.059171598	0.144654088	0.172932331	0.056451613	0.034129693	0	0.150943396	0.094117647	0.083333333	0.130434783	0.144508671	0.015564202	0.096045198	0.15503876	0.070588235	0.086956522	0.137931034	0.107317073	0.155172414	0.115044248	0.061728395	0.132075472	0.026041667	0.153846154	0.069767442	0.092391304	0.015463918	0.054945055	0.146067416	0.164383562	0.076923077	0.019417476	0.082125604	0.129496403	0.170068027	0.113636364	0.059405941	0.034482759	0.04	0.166666667	0.164705882	0.19047619	0.02020202	0.054945055	0	1	0.068	0.083333333	0.149425287	0.046511628	0.102564103	0.152173913	0.107142857	0.023255814	0.056122449	0.150943396	0	0.158227848	0.153846154	0.080924855	0.157024793	0.088607595	0.171052632	0.043367347	0.056179775	0.155172414	0.037593985	0.160583942	0.075268817	0.060606061	0.057692308	0.107317073	0.051282051	0.02	0.056179775
Pibrentasvir	0.056390977	0.079545455	0.050583658	0.175324675	0.185064935	0.173010381	0.15018315	0.130232558	0.134275618	0.113138686	0.142414861	0.049808429	0.078947368	0.161585366	0.096296296	0.401486989	0.133105802	0.062015504	0.140740741	0.076335878	0.404109589	0.136200717	0.127737226	0.054901961	0.10989011	0.144578313	0.132653061	0.053639847	0.17791411	0.10787172	0.1829653	0.079545455	0.142394822	0.047058824	0.078651685	0.365771812	0.197183099	0.160130719	0.153846154	0.086142322	0.045977011	0.066914498	0.154109589	0.093023256	0.084291188	0.075757576	0.064885496	0.075471698	0.068	1	0.185454545	0.084291188	0.045977011	0.142857143	0.117647059	0.100977199	0.046332046	0.150442478	0.105072464	0.048	0.154574132	0.18627451	0.201298701	0.133333333	0.054901961	0.075098814	0.123339658	0.049242424	0.116197183	0.099315068	0.114006515	0.092664093	0.086792453	0.089219331	0.339869281	0.186544343	0.059479554	0.053231939
Presatovir	0.068027211	0.141843972	0.081481481	0.208121827	0.090497738	0.162162162	0.194968553	0.077380952	0.119318182	0.124223602	0.139534884	0.102941176	0.156028369	0.13215859	0.066666667	0.210526316	0.155555556	0.111111111	0.210526316	0.153284672	0.201680672	0.16969697	0.170886076	0.098484848	0.162337662	0.142857143	0.148351648	0.078571429	0.187214612	0.089361702	0.206730769	0.110344828	0.150753769	0.1	0.078947368	0.174273859	0.180327869	0.143564356	0.183908046	0.129251701	0.079710145	0.101351351	0.196629213	0.196969697	0.143884892	0.095890411	0.115107914	0.073333333	0.083333333	0.185454545	1	0.152173913	0.071942446	0.160493827	0.12371134	0.103092784	0.088888889	0.127118644	0.152866242	0.078125	0.105022831	0.183168317	0.23	0.117977528	0.115384615	0.184	0.070938215	0.077464789	0.128654971	0.08839779	0.141361257	0.127659574	0.108108108	0.104575163	0.167346939	0.189189189	0.073333333	0.100719424
