	2019-nCoV	Adenovirus	Andes_virus	Parvovirus_B19	Bunyamwera_virus	Crimean-Congo_hemorrhagic_fever_virus	Chikungunya_virus	Cytomegalovirus	Dengue_virus	Ebola_virus	Epstein-Barr_virus	Echovirus_1	Influenza_A_virus	Influenza_B_virus	Influenza_C_virus	Human_Astrovirus	Hepatitis_A_virus	Hepatitis_B_virus	Human_coronavirus_strain_229E	Human_coronavirus_strain_NL63	Human_coronavirus_OC43	Hepatitis_C_virus	Hepatitis_D_virus	Hendra_virus	Hepatitis_E_virus	Enterovirus_A	Enterovirus_B	Enterovirus_C	Enterovirus_D	Enterovirus_J	Human_herpesvirus_6	Human_herpesvirus_7	Human_immunodeficiency_virus_1	Human_immunodeficiency_virus_2	Human_metapneumovirus	Human_parainfluenza_virus_1	Human_papillomavirus	Human_rhinovirus_A	Human_rhinovirus_B	Herpes_simplex_virus_1	Hantavirus	Japanese_encephalitis_virus	Kunjin_virus	Lassa_virus	Mammarenavirus_lymphocytic_choriomeningitis_virus	Marburg_virus	Molluscum_contagiosum_virus	Middle_East_respiratory_syndrome_coronavirus	Measles_virus	Nipah_virus	Norovirus	Parechovirus_A3	Powassan_virus	Rabies_virus	Ravn_virus	Ross_River_virus	Respiratory_syncytial_virus	Rubella_virus	Rift_Valley_fever_virus	Saffold_virus	Severe_acute_respiratory_syndrome_coronavirus	Severe_fever_with_thrombocytopenia_syndrome_virus	Sindbis_virus	Tick-borne_encephalitis_virus	Vaccinia_virus	Vesicular_stomatitis_virus	West_Nile_virus	Yellow_fever_virus	Zika_virus
2019-nCoV	1	0.16657192	0.20161536	0.19496069	0.20872727	0.19334324	0.17190935	0.1629268	0.18351188	0.18237673	0.16827743	0.20179861	0.21870995	0.20861486	0.21606765	0.19037135	0.19297108	0.20383964	0.28413944	0.28501434	0.28248002	0.16762163	0.18549346	0.19057804	0.1638191	0.19182517	0.18745776	0.19233871	0.19404601	0.19867191	0.19272314	0.19526469	0.18995752	0.18997973	0.19910112	0.19564103	0.20366103	0.20190556	0.19492231	0.15028592	0.20476624	0.17556487	0.18065077	0.19958848	0.20449102	0.19681909	0.15737551	0.33769187	0.18077475	0.19193248	0.16749585	0.19637997	0.17787619	0.18706001	0.19504028	0.18109291	0.19998683	0.14812538	0.19394129	0.19408503	0.69211119	0.18529177	0.1774043	0.17817072	0.19141892	0.18308786	0.17934536	0.18504879	0.18208734
Adenovirus	0.16657192	1	0.17372752	0.18102216	0.17803636	0.17707301	0.18543886	0.18815666	0.17419655	0.17465735	0.18051157	0.17931598	0.18667236	0.19763514	0.18012685	0.18009687	0.18039165	0.18859401	0.16820588	0.16539034	0.16609739	0.18585269	0.21819263	0.17067018	0.1844939	0.18440577	0.18042979	0.17594086	0.17280108	0.171839	0.17186169	0.16148621	0.17754057	0.17607877	0.17498127	0.16948718	0.17460317	0.17374247	0.17758047	0.19020991	0.17167577	0.18002915	0.17437365	0.18400941	0.17844311	0.17374699	0.18824403	0.16781243	0.17593257	0.17006467	0.19198877	0.1831791	0.18165882	0.17398592	0.17369467	0.17843356	0.16779672	0.20129072	0.17723298	0.18336414	0.17401096	0.18193445	0.176895	0.18454358	0.15733601	0.17445404	0.17871067	0.18136623	0.18032939
Andes_virus	0.20161536	0.17372752	1	0.1921015	0.20451082	0.19612923	0.17936605	0.18088997	0.19247181	0.19125267	0.18180433	0.20557757	0.20931226	0.21959459	0.21564482	0.19399573	0.1885096	0.1916996	0.20938738	0.21548308	0.2130448	0.16260286	0.18192628	0.20557757	0.17342274	0.18226151	0.18881439	0.18942396	0.19612923	0.19612923	0.20161536	0.21334959	0.2048156	0.19811033	0.21014934	0.20969217	0.19628162	0.19963426	0.21426394	0.15254496	0.59524535	0.18835721	0.19917708	0.20164609	0.20801585	0.19750076	0.16824139	0.20100579	0.18881439	0.19856751	0.16580311	0.2008534	0.18622371	0.19125267	0.19765315	0.18469979	0.20710149	0.13913441	0.19284822	0.20451082	0.19750076	0.19232614	0.17951844	0.1761658	0.20466321	0.19719598	0.18165194	0.19506248	0.19170984
Parvovirus_B19	0.19496069	0.18102216	0.1921015	1	0.19924946	0.19031451	0.17744818	0.17726948	0.18727663	0.18334525	0.18245175	0.1922802	0.19607006	0.2027027	0.20634249	0.19406719	0.19353109	0.19649915	0.19567548	0.19513939	0.19442459	0.18781272	0.18549346	0.19835597	0.18137956	0.18870622	0.18799142	0.18137956	0.19085061	0.19406719	0.19781987	0.1931737	0.19335239	0.18817012	0.19067191	0.19370979	0.18924232	0.19549678	0.18674053	0.1722659	0.18548964	0.18531094	0.1917441	0.18900647	0.18691923	0.1924589	0.1729807	0.1922802	0.18441744	0.19120801	0.1726233	0.19835597	0.18102216	0.18566833	0.1924589	0.19031451	0.19853467	0.15850608	0.18924232	0.18834882	0.1913867	0.18406004	0.18298785	0.19442459	0.19567548	0.1915654	0.18048606	0.18959971	0.18620443
Bunyamwera_virus	0.20872727	0.17803636	0.20451082	0.19924946	1	0.20610909	0.18487273	0.17701818	0.19432727	0.19098182	0.17614545	0.20116364	0.2127296	0.22043919	0.23509514	0.18332599	0.20087273	0.20186335	0.20727273	0.20843636	0.21221818	0.16436364	0.16646849	0.20916364	0.15345455	0.18254545	0.18894545	0.18298182	0.19243636	0.18967273	0.20567273	0.2144	0.20698182	0.19723636	0.21745455	0.21149091	0.19578182	0.21047273	0.20392727	0.15389091	0.21979356	0.1856	0.19810909	0.19870664	0.20164671	0.20523636	0.15738182	0.20392727	0.18909091	0.20683636	0.16538182	0.2144	0.17963636	0.18778182	0.20523636	0.17672727	0.21687273	0.13861818	0.1945659	0.20669091	0.20290909	0.19168665	0.18094545	0.17629091	0.21745455	0.20029091	0.18050909	0.18996364	0.1888
Crimean-Congo_hemorrhagic_fever_virus	0.19334324	0.17707301	0.19612923	0.19031451	0.20610909	1	0.18653814	0.17368682	0.18649278	0.1862405	0.17269574	0.19021665	0.20333191	0.21283784	0.21395349	0.19110524	0.19491635	0.19367589	0.19210439	0.18863561	0.1961513	0.17366392	0.19381688	0.19078295	0.17846375	0.18481047	0.18394378	0.18548387	0.19688769	0.19067624	0.18987446	0.19491245	0.19627492	0.18969012	0.19656426	0.19813347	0.19546851	0.20050441	0.19797447	0.15361744	0.20446266	0.18713557	0.18334985	0.19400353	0.20164671	0.19540799	0.16270235	0.18731417	0.18855302	0.19301288	0.17030233	0.19787697	0.19070025	0.19284278	0.19540799	0.17414429	0.20564916	0.16072526	0.18894441	0.19593346	0.19317806	0.19680256	0.17944147	0.18149179	0.19639907	0.18888338	0.18242814	0.1873504	0.18745374
Chikungunya_virus	0.17190935	0.18543886	0.17936605	0.17744818	0.18487273	0.18653814	1	0.18476239	0.1840708	0.18019618	0.17808219	0.18190489	0.20589492	0.19847973	0.2	0.18919712	0.17974322	0.19311124	0.17300863	0.17402334	0.17427702	0.17314304	0.19441141	0.18121089	0.17961235	0.18103332	0.18407893	0.17741935	0.1849797	0.1834937	0.18315576	0.17960426	0.18581854	0.18351192	0.1857771	0.18239472	0.17831541	0.17878661	0.177303	0.1768138	0.18032787	0.18376458	0.18332488	0.19753086	0.18547904	0.17740572	0.17918146	0.17486893	0.18915948	0.18247928	0.18305906	0.18195427	0.18617954	0.19271098	0.17740572	0.54962683	0.1799425	0.18612989	0.18769519	0.17954405	0.17740572	0.18257394	0.33002292	0.18140203	0.18146457	0.17765939	0.19040711	0.18633769	0.17977424
Cytomegalovirus	0.1629268	0.18815666	0.18088997	0.17726948	0.17701818	0.17368682	0.18476239	1	0.17596646	0.16972116	0.18415295	0.18299496	0.19137121	0.19214527	0.20422833	0.18831645	0.17831669	0.1916996	0.16649024	0.16430153	0.16547933	0.19283259	0.21165279	0.16957332	0.19339555	0.17617699	0.17475335	0.18682796	0.17456022	0.17468492	0.15943719	0.14966684	0.17372835	0.17463076	0.17498127	0.17128205	0.18317972	0.18228948	0.17286349	0.21300469	0.17926533	0.18604227	0.1708735	0.18165785	0.17814371	0.17364236	0.19861369	0.16724785	0.18041607	0.17275019	0.20627631	0.17964072	0.18442661	0.17457258	0.17364236	0.17946298	0.17437957	0.21737349	0.17801374	0.17424522	0.17011193	0.1764988	0.18402513	0.18930078	0.14677137	0.17324784	0.18124943	0.18026146	0.18532568
Dengue_virus	0.18351188	0.17419655	0.19247181	0.18727663	0.19432727	0.18649278	0.1840708	0.17596646	1	0.18630647	0.1856544	0.19471318	0.20717642	0.20903716	0.21945032	0.19433436	0.18298535	0.19395822	0.18351188	0.17801584	0.1826735	0.1788728	0.19857313	0.18900792	0.17846375	0.18440577	0.18975537	0.18561828	0.18538566	0.18742377	0.18332557	0.1856544	0.19703736	0.19026933	0.19217513	0.19292035	0.18497184	0.18859465	0.19131521	0.17214718	0.19535519	0.36544015	0.18043782	0.19753086	0.19326347	0.18332557	0.17065673	0.17894737	0.18826269	0.18798323	0.17795637	0.19011976	0.31271542	0.18621332	0.18313926	0.18919422	0.18770377	0.16482278	0.19269207	0.18262477	0.18360503	0.19936051	0.18006521	0.31197019	0.18276665	0.18453656	0.35174662	0.3510014	0.41332091
Ebola_virus	0.18237673	0.17465735	0.19125267	0.18334525	0.19098182	0.1862405	0.18019618	0.16972116	0.18630647	1	0.18715539	0.1893991	0.20845792	0.20143581	0.2	0.18728901	0.18298535	0.19819311	0.18253426	0.1802237	0.17864832	0.18564434	0.1979786	0.19463639	0.1781766	0.18872251	0.18353832	0.17889785	0.18633288	0.18999864	0.18416216	0.18500236	0.18897724	0.18438073	0.18629213	0.19666667	0.18522785	0.19153706	0.19422863	0.16599275	0.19414086	0.18084913	0.18169406	0.18900647	0.18802395	0.26345639	0.16720055	0.1822717	0.18382353	0.20590814	0.1844623	0.19148068	0.1789833	0.18630573	0.2635089	0.17620314	0.18886183	0.17557877	0.19440974	0.18496611	0.18248175	0.19040767	0.176895	0.17781169	0.1798036	0.18556374	0.18569227	0.18514086	0.18245744
Epstein-Barr_virus	0.16827743	0.18051157	0.18180433	0.18245175	0.17614545	0.17269574	0.17808219	0.18415295	0.1856544	0.18715539	1	0.1861289	0.19863306	0.19636824	0.19450317	0.18024365	0.18052133	0.18181818	0.17185618	0.16865677	0.16612992	0.19783311	0.22116528	0.17308325	0.2	0.18062863	0.18232194	0.19072581	0.18728011	0.17956363	0.15981346	0.15755814	0.17862978	0.18756637	0.17445693	0.17275641	0.17985151	0.17962729	0.18548835	0.18913166	0.17789921	0.18012026	0.17017509	0.19400353	0.18128743	0.17186356	0.18360307	0.16970542	0.18621473	0.17159925	0.19441255	0.18195427	0.18617954	0.17826014	0.17175892	0.17723256	0.17279968	0.21051014	0.18519675	0.17979051	0.17101946	0.18944844	0.1788473	0.18849295	0.14955083	0.1738192	0.18424155	0.17823605	0.18911917
Echovirus_1	0.20179861	0.17931598	0.20557757	0.1922802	0.20116364	0.19021665	0.18190489	0.18299496	0.19471318	0.1893991	0.1861289	1	0.22298163	0.21114865	0.21226216	0.19844415	0.24867148	0.20242801	0.20111732	0.20438752	0.19730208	0.17236681	0.19560048	0.19226053	0.1730079	0.19934596	0.19389563	0.18967162	0.21624199	0.19852841	0.19716583	0.20384249	0.19634828	0.19484943	0.20179861	0.19961848	0.19130672	0.22348326	0.22599889	0.15765091	0.20279296	0.18217741	0.18762774	0.19988242	0.19550898	0.19307808	0.16991416	0.19457692	0.18790026	0.19771086	0.17332062	0.74846709	0.18353999	0.18871781	0.19307808	0.18026979	0.20506881	0.15111051	0.19237976	0.21338057	0.19771086	0.19232614	0.18531135	0.18108734	0.20125358	0.19212427	0.18299496	0.18667393	0.18108734
Influenza_A_virus	0.21870995	0.18667236	0.20931226	0.19607006	0.2127296	0.20333191	0.20589492	0.19137121	0.20717642	0.20845792	0.19863306	0.22298163	1	0.52755233	0.20119607	0.21529261	0.20333191	0.19649722	0.20034173	0.19436138	0.19777873	0.19137121	0.18252081	0.21059376	0.18197352	0.20717642	0.20205041	0.20333191	0.20803076	0.1994874	0.20931226	0.21657411	0.21571978	0.20845792	0.21529261	0.22255446	0.20290474	0.20803076	0.21913712	0.17086715	0.1994874	0.19692439	0.20119607	0.21230243	0.20845792	0.20034173	0.2007689	0.19393422	0.2007689	0.2127296	0.18838103	0.21358394	0.1994874	0.20205041	0.20034173	0.19692439	0.22639897	0.17855617	0.19777873	0.2007689	0.20461341	0.20290474	0.19094404	0.19564289	0.20247757	0.20034173	0.1888082	0.19564289	0.19436138
Influenza_B_virus	0.20861486	0.19763514	0.21959459	0.2027027	0.22043919	0.21283784	0.19847973	0.19214527	0.20903716	0.20143581	0.19636824	0.21114865	0.52755233	1	0.21353066	0.20523649	0.21621622	0.18623311	0.20059122	0.21030405	0.20481419	0.17356419	0.17598098	0.20481419	0.17525338	0.1870777	0.20016892	0.2027027	0.22170608	0.20185811	0.21452703	0.21959459	0.22381757	0.21157095	0.20481419	0.22128378	0.2035473	0.21537162	0.21072635	0.16849662	0.22128378	0.19763514	0.21114865	0.20228041	0.21326014	0.20650338	0.19467905	0.20016892	0.20861486	0.20988176	0.18327703	0.20608108	0.19721284	0.19679054	0.20650338	0.19256757	0.22001689	0.16047297	0.19552365	0.20523649	0.21199324	0.20777027	0.19214527	0.19763514	0.22043919	0.20692568	0.2027027	0.21114865	0.20777027
Influenza_C_virus	0.21606765	0.18012685	0.21564482	0.20634249	0.23509514	0.21395349	0.2	0.20422833	0.21945032	0.2	0.19450317	0.21226216	0.20119607	0.21353066	1	0.20591966	0.21014799	0.19915433	0.20422833	0.21987315	0.21437632	0.17885835	0.18252081	0.21395349	0.17589852	0.20295983	0.20295983	0.20803383	0.22029598	0.20634249	0.20169133	0.22241015	0.22071882	0.22156448	0.22875264	0.22790698	0.21945032	0.21564482	0.21733615	0.16828753	0.22198732	0.20042283	0.21437632	0.20042283	0.21606765	0.21226216	0.18350951	0.20972516	0.20169133	0.21649049	0.17251586	0.21183932	0.197463	0.21014799	0.21226216	0.19704017	0.22579281	0.15052854	0.21437632	0.20972516	0.2012685	0.194926	0.20084567	0.19323467	0.22706131	0.21353066	0.20211416	0.20042283	0.20465116
Human_Astrovirus	0.19037135	0.18009687	0.19399573	0.19406719	0.18332599	0.19110524	0.18919712	0.18831645	0.19433436	0.18728901	0.18024365	0.19844415	0.21529261	0.20523649	0.20591966	1	0.18919712	0.18859401	0.19873771	0.19051813	0.19829737	0.18244533	0.19262782	0.1893439	0.18156466	0.19506825	0.19638926	0.19227947	0.19095846	0.1893439	0.19110524	0.19227947	0.19095846	0.18861001	0.19418758	0.19917804	0.19961838	0.20137972	0.19917804	0.16732717	0.19292653	0.1893439	0.1880229	0.19870664	0.20508982	0.19653603	0.17701453	0.19316014	0.18670189	0.18890357	0.17848231	0.19169235	0.18699545	0.18816968	0.19653603	0.18567445	0.19771026	0.15808014	0.18285447	0.19257302	0.19286658	0.19184652	0.1812711	0.18435344	0.19668281	0.18919712	0.18538089	0.19125202	0.18699545
Hepatitis_A_virus	0.19297108	0.18039165	0.1885096	0.19353109	0.20087273	0.19491635	0.17974322	0.17831669	0.18298535	0.18298535	0.18052133	0.24867148	0.20333191	0.21621622	0.21014799	0.18919712	1	0.19141728	0.19841784	0.19595383	0.19893658	0.18895085	0.18133175	0.187654	0.18363245	0.22312154	0.20408163	0.20456989	0.22341001	0.21791571	0.19400856	0.19491635	0.19374919	0.1893399	0.20451303	0.1919336	0.18959927	0.21787866	0.23029967	0.17170276	0.1968731	0.1902477	0.18895085	0.1984127	0.2010479	0.187654	0.16975749	0.18843211	0.18052133	0.19491635	0.17066528	0.24251497	0.18531967	0.18480093	0.18921022	0.17714953	0.19569446	0.15886396	0.20252967	0.2073661	0.19660226	0.19088729	0.17896511	0.1833744	0.19063675	0.19530541	0.18726495	0.18376345	0.18039165
Hepatitis_B_virus	0.20383964	0.18859401	0.1916996	0.19649915	0.20186335	0.19367589	0.19311124	0.1916996	0.19395822	0.19819311	0.18181818	0.20242801	0.19649722	0.18623311	0.19915433	0.18859401	0.19141728	1	0.20863919	0.20271033	0.19847544	0.17673631	0.19143876	0.20158103	0.17843027	0.18548842	0.19339356	0.19339356	0.19339356	0.1863354	0.20214568	0.19875776	0.18774704	0.19113495	0.20214568	0.19198193	0.20186335	0.20863919	0.19678148	0.17419537	0.20271033	0.19311124	0.19424054	0.19488536	0.2001694	0.19904009	0.18068888	0.19791078	0.1959345	0.19762846	0.18125353	0.20496894	0.18435912	0.1863354	0.19932242	0.17391304	0.19621683	0.17673631	0.18492377	0.19508752	0.20355731	0.18887634	0.17927724	0.19113495	0.20807453	0.19847544	0.18718238	0.19480519	0.18972332
Human_coronavirus_strain_229E	0.28413944	0.16820588	0.20938738	0.19567548	0.20727273	0.19210439	0.17300863	0.16649024	0.18351188	0.18253426	0.17185618	0.20111732	0.20034173	0.20059122	0.20422833	0.19873771	0.19841784	0.20863919	1	0.48183975	0.27954006	0.16376706	0.19560048	0.19107162	0.17257717	0.19074599	0.18042979	0.18884409	0.18903924	0.19812983	0.19361197	0.20204417	0.18603638	0.17974708	0.19550562	0.18807692	0.19905274	0.20428752	0.19755827	0.15061143	0.20006072	0.17483601	0.18236905	0.1984127	0.20179641	0.19184891	0.16112429	0.27713086	0.17659015	0.19231612	0.16864396	0.19801306	0.18175108	0.18152866	0.19184891	0.17929141	0.20110592	0.14730588	0.191599	0.19211337	0.27742289	0.19344524	0.17477294	0.17341352	0.19189633	0.18518283	0.17925469	0.18145829	0.1792191
Human_coronavirus_strain_NL63	0.28501434	0.16539034	0.21548308	0.19513939	0.20843636	0.18863561	0.17402334	0.16430153	0.17801584	0.1802237	0.16865677	0.20438752	0.19436138	0.21030405	0.21987315	0.19051813	0.19595383	0.20271033	0.48183975	1	0.30316118	0.16689238	0.17419738	0.19392344	0.17085427	0.19020639	0.18015948	0.18387097	0.19769959	0.19528391	0.20041375	0.20462382	0.18908616	0.18051936	0.19146067	0.1900641	0.21710189	0.20652935	0.20130411	0.15479258	0.20825744	0.17374271	0.17907306	0.19400353	0.1989521	0.19399393	0.15214314	0.30105615	0.17629125	0.19269977	0.16035209	0.19774088	0.17326322	0.18622192	0.19399393	0.17448743	0.19465473	0.13993034	0.19378513	0.19063463	0.27811854	0.18353317	0.16849164	0.17484965	0.2012848	0.18238954	0.17807598	0.17989321	0.17709104
Human_coronavirus_OC43	0.28248002	0.16609739	0.2130448	0.19442459	0.21221818	0.1961513	0.17427702	0.16547933	0.1826735	0.17864832	0.16612992	0.19730208	0.19777873	0.20481419	0.21437632	0.19829737	0.19893658	0.19847544	0.27954006	0.30316118	1	0.17189291	0.19322235	0.19194911	0.17803302	0.18143801	0.18461954	0.18534946	0.197023	0.19636807	0.19407306	0.20100192	0.19017536	0.17849213	0.1917603	0.18673077	0.19726062	0.20765027	0.19464484	0.14657949	0.21357013	0.17401603	0.18128883	0.19929453	0.20284431	0.19090719	0.1560782	0.29822988	0.17910091	0.19001425	0.1708126	0.20073489	0.17418581	0.18655716	0.19095951	0.17079866	0.19959186	0.14341323	0.19269207	0.19260628	0.29767067	0.18433253	0.16730328	0.17197738	0.19446342	0.18353225	0.17580923	0.18007733	0.17968172
